,Prompt
0,"Is Fort Wayne, IN closer to Denver, CO or New Haven, CT?"
1,"Is Buffalo, NY closer to Youngstown, OH or Mobile, AL?"
2,"Is Ogden, UT closer to Boise, ID or Columbus, OH?"
3,"Is Omaha, NE closer to Los Angeles, CA or Kissimmee, FL?"
4,"Is Cleveland, OH closer to Fort Wayne, IN or Phoenix, AZ?"
5,"Is Greenville, SC closer to Springfield, MO or Sacramento, CA?"
6,"Is Indianapolis, IN closer to Detroit, MI or Grand Rapids, MI?"
7,"Is Albany, NY closer to Charlotte, NC or Boston, MA?"
8,"Is Atlanta, GA closer to Salt Lake City, UT or Hartford, CT?"
9,"Is Mission Viejo, CA closer to New Haven, CT or Miami, FL?"
10,"Is Manhattan, NY closer to Concord, CA or Corpus Christi, TX?"
11,"Is Fayetteville, AR closer to Brooklyn, NY or Mission Viejo, CA?"
12,"Is Trenton, NJ closer to San Antonio, TX or Las Vegas, NV?"
13,"Is Victorville, CA closer to Fresno, CA or Winston-Salem, NC?"
14,"Is Bakersfield, CA closer to Fayetteville, AR or Virginia Beach, VA?"
15,"Is Santa Ana, CA closer to Sacramento, CA or Lincoln, NE?"
16,"Is San Francisco, CA closer to Trenton, NJ or Columbus, OH?"
17,"Is Reno, NV closer to Mobile, AL or Lansing, MI?"
18,"Is Bronx, NY closer to McAllen, TX or Brooklyn, NY?"
19,"Is Lincoln, NE closer to Savannah, GA or Tucson, AZ?"
20,"Is Akron, OH closer to Nashville, TN or San Antonio, TX?"
21,"Is Madison, WI closer to Greensboro, NC or Henderson, NV?"
22,"Is Youngstown, OH closer to Augusta, GA or Asheville, NC?"
23,"Is Scranton, PA closer to Augusta, GA or Kansas City, MO?"
24,"Is Lakeland, FL closer to Lancaster, PA or Indio, CA?"
25,"Is Austin, TX closer to Albuquerque, NM or Tulsa, OK?"
26,"Is Henderson, NV closer to Indianapolis, IN or Long Beach, CA?"
27,"Is Savannah, GA closer to Bridgeport, CT or Brooklyn, NY?"
28,"Is Oakland, CA closer to Lincoln, NE or Fresno, CA?"
29,"Is McAllen, TX closer to Atlanta, GA or Brooklyn, NY?"
30,"Is Denver, CO closer to Palm Bay, FL or Charleston, SC?"
31,"Is Victorville, CA closer to Winston-Salem, NC or Concord, CA?"
32,"Is Allentown, PA closer to Baton Rouge, LA or Cleveland, OH?"
33,"Is McAllen, TX closer to Minneapolis, MN or Mesa, AZ?"
34,"Is Des Moines, IA closer to Bakersfield, CA or Austin, TX?"
35,"Is Long Beach, CA closer to Miami, FL or San Juan, PR?"
36,"Is Concord, CA closer to San Francisco, CA or Portland, OR?"
37,"Is Lincoln, NE closer to Las Vegas, NV or Boston, MA?"
38,"Is Chattanooga, TN closer to Hartford, CT or Columbus, OH?"
39,"Is Boston, MA closer to Salt Lake City, UT or San Juan, PR?"
40,"Is Lansing, MI closer to Palm Bay, FL or Baltimore, MD?"
41,"Is Savannah, GA closer to Bronx, NY or Albany, NY?"
42,"Is Palm Coast, FL closer to Brooklyn, NY or Greensboro, NC?"
43,"Is Mobile, AL closer to Palm Coast, FL or Ann Arbor, MI?"
44,"Is Queens, NY closer to Rochester, NY or Albany, NY?"
45,"Is Bonita Springs, FL closer to Wichita, KS or Austin, TX?"
46,"Is Orlando, FL closer to Birmingham, AL or Philadelphia, PA?"
47,"Is Anaheim, CA closer to Shreveport, LA or Rochester, NY?"
48,"Is Youngstown, OH closer to Syracuse, NY or Omaha, NE?"
49,"Is Shreveport, LA closer to Youngstown, OH or Santa Ana, CA?"
50,"Is Trenton, NJ closer to Virginia Beach, VA or Baton Rouge, LA?"
51,"Is Cincinnati, OH closer to Louisville, KY or Corpus Christi, TX?"
52,"Is Richmond, VA closer to Durham, NC or San Jose, CA?"
53,"Is Columbus, OH closer to Fayetteville, NC or San Juan, PR?"
54,"Is Spokane, WA closer to Wichita, KS or New Haven, CT?"
55,"Is Detroit, MI closer to Houston, TX or Durham, NC?"
56,"Is Lexington, KY closer to Dayton, OH or Detroit, MI?"
57,"Is San Antonio, TX closer to Kissimmee, FL or Fort Collins, CO?"
58,"Is Fresno, CA closer to Portland, OR or Seattle, WA?"
59,"Is Springfield, MO closer to Youngstown, OH or Houston, TX?"
60,"Is Little Rock, AR closer to Scranton, PA or Honolulu, HI?"
61,"Is Santa Clarita, CA closer to Lexington, KY or Fort Wayne, IN?"
62,"Is San Francisco, CA closer to Virginia Beach, VA or Miami, FL?"
63,"Is Queens, NY closer to Scranton, PA or Worcester, MA?"
64,"Is Springfield, MO closer to Pensacola, FL or Atlanta, GA?"
65,"Is San Diego, CA closer to San Jose, CA or Lincoln, NE?"
66,"Is Charleston, SC closer to Bonita Springs, FL or Ann Arbor, MI?"
67,"Is Youngstown, OH closer to Rockford, IL or Springfield, MA?"
68,"Is Corpus Christi, TX closer to Allentown, PA or Dallas, TX?"
69,"Is Denton, TX closer to Fayetteville, NC or Washington, DC?"
70,"Is St. Paul, MN closer to Salt Lake City, UT or Greenville, SC?"
71,"Is Baltimore, MD closer to Pensacola, FL or Boise, ID?"
72,"Is Shreveport, LA closer to Poughkeepsie, NY or Salt Lake City, UT?"
73,"Is Columbia, SC closer to Harrisburg, PA or Milwaukee, WI?"
74,"Is Hartford, CT closer to Poughkeepsie, NY or Greensboro, NC?"
75,"Is Fayetteville, AR closer to Dayton, OH or Nashville, TN?"
76,"Is Savannah, GA closer to Jacksonville, FL or Scranton, PA?"
77,"Is Harrisburg, PA closer to Philadelphia, PA or Minneapolis, MN?"
78,"Is Reno, NV closer to El Paso, TX or Buffalo, NY?"
79,"Is St. Louis, MO closer to New Haven, CT or Ogden, UT?"
80,"Is Akron, OH closer to Ogden, UT or Ann Arbor, MI?"
81,"Is South Bend, IN closer to Brooklyn, NY or Toledo, OH?"
82,"Is Charlotte, NC closer to St. Louis, MO or Newark, NJ?"
83,"Is Lincoln, NE closer to Minneapolis, MN or St. Louis, MO?"
84,"Is Houston, TX closer to Springfield, MA or Bonita Springs, FL?"
85,"Is San Francisco, CA closer to Fresno, CA or Toledo, OH?"
86,"Is Harrisburg, PA closer to Grand Rapids, MI or Bonita Springs, FL?"
87,"Is Charlotte, NC closer to Miami, FL or Virginia Beach, VA?"
88,"Is Honolulu, HI closer to Denver, CO or Minneapolis, MN?"
89,"Is Phoenix, AZ closer to New Haven, CT or Hartford, CT?"
90,"Is New York, NY closer to Denver, CO or Oakland, CA?"
91,"Is Akron, OH closer to Memphis, TN or Palm Coast, FL?"
92,"Is Santa Clarita, CA closer to Chicago, IL or Memphis, TN?"
93,"Is Augusta, GA closer to Sacramento, CA or Chicago, IL?"
94,"Is Ogden, UT closer to Murrieta, CA or Los Angeles, CA?"
95,"Is Baton Rouge, LA closer to Pensacola, FL or San Francisco, CA?"
96,"Is South Bend, IN closer to Springfield, MA or Staten Island, NY?"
97,"Is Atlanta, GA closer to Richmond, VA or Colorado Springs, CO?"
98,"Is Modesto, CA closer to Grand Rapids, MI or Kissimmee, FL?"
99,"Is Washington, DC closer to Louisville, KY or Atlanta, GA?"
100,"Is Toledo, OH closer to Birmingham, AL or Long Beach, CA?"
101,"Is Durham, NC closer to Tucson, AZ or Louisville, KY?"
102,"Is Port St. Lucie, FL closer to Durham, NC or Knoxville, TN?"
103,"Is Baton Rouge, LA closer to Ann Arbor, MI or Austin, TX?"
104,"Is Fayetteville, AR closer to Murrieta, CA or New Orleans, LA?"
105,"Is Syracuse, NY closer to Worcester, MA or Kissimmee, FL?"
106,"Is Port St. Lucie, FL closer to Sacramento, CA or Fort Wayne, IN?"
107,"Is Poughkeepsie, NY closer to Cape Coral, FL or Memphis, TN?"
108,"Is Cape Coral, FL closer to Asheville, NC or Corpus Christi, TX?"
109,"Is Round Lake Beach, IL closer to Buffalo, NY or Davenport, IA?"
110,"Is Indio, CA closer to Tucson, AZ or Mobile, AL?"
111,"Is Ogden, UT closer to Denver, CO or Columbus, OH?"
112,"Is St. Paul, MN closer to Fort Wayne, IN or Port St. Lucie, FL?"
113,"Is Indio, CA closer to McAllen, TX or Grand Rapids, MI?"
114,"Is Manhattan, NY closer to Savannah, GA or Harrisburg, PA?"
