Prompt,Response
Is Goldsboro NC closer to St. Cloud MN or Stamford CT?,"Stamford, CT"
Is Woodbury MN closer to Medford MA or Des Plaines IL?,"Des Plaines, IL"
Is Muncie IN closer to Roswell GA or Houma LA?,"Roswell, GA"
Is Glendora CA closer to Lafayette LA or Dublin CA?,"Dublin, CA"
Is San Juan PR closer to Rome GA or Federal Way WA?,"Federal Way, WA"
Is Charleston SC closer to West Covina CA or Saginaw MI?,"Saginaw, MI"
Is Great Falls MT closer to Johnstown PA or Lexington KY?,"Lexington, KY"
Is Tempe AZ closer to Midwest City OK or Wenatchee WA?,"Midwest City, OK"
Is Midland TX closer to Round Lake Beach IL or Modesto CA?,"Modesto, CA"
Is Long Beach CA closer to Broomfield CO or Kettering OH?,"Broomfield, CO"
Is Muncie IN closer to Chula Vista CA or Ithaca NY?,"Ithaca, NY"
Is Pinellas Park FL closer to Wilmington NC or Escondido CA?,"Wilmington, NC"
Is Panama City FL closer to Centennial CO or Vista CA?,"Vista, CA"
Is Bolingbrook IL closer to Buckeye AZ or Victorville CA?,"Victorville, CA"
Is Norman OK closer to Orange CA or Berwyn IL?,"Berwyn, IL"
Is Idaho Falls ID closer to Rancho Cordova CA or Mobile AL?,"Rancho Cordova, CA"
Is Missoula MT closer to Poughkeepsie NY or North Miami FL?,"North Miami, FL"
Is Dothan AL closer to Alhambra CA or Rock Hill SC?,"Rock Hill, SC"
Is Bloomington IN closer to Watsonville CA or Traverse City MI?,"Traverse City, MI"
Is Kankakee IL closer to Cheyenne WY or Apple Valley MN?,"Apple Valley, MN"
Is Pittsburg CA closer to Ellicott City MD or Aurora IL?,"Aurora, IL"
Is Spring Valley NV closer to Bradenton FL or Chula Vista CA?,"Chula Vista, CA"
Is Arlington Heights IL closer to Shoreline WA or Maple Grove MN?,"Maple Grove, MN"
Is Pontiac MI closer to Bellevue WA or State College PA?,"State College, PA"
Is Centreville VA closer to Olathe KS or Santa Clara CA?,"Santa Clara, CA"
Is Arlington VA closer to Dallas TX or North Charleston SC?,"North Charleston, SC"
Is Leominster MA closer to St. Joseph MO or Turlock CA?,"St. Joseph, MO"
Is Reading PA closer to Sparks NV or Asheville NC?,"Asheville, NC"
Is Boca Raton FL closer to Newark OH or Burbank CA?,"Burbank, CA"
Is Pearland TX closer to Ann Arbor MI or Shreveport LA?,"Shreveport, LA"
Is Denton TX closer to Goldsboro NC or San Jose CA?,"San Jose, CA"
Is Rosemead CA closer to Pinellas Park FL or Cary NC?,"Cary, NC"
Is Laredo TX closer to Lake Elsinore CA or Irving TX?,"Irving, TX"
Is Newport News VA closer to Minnetonka MN or Waukesha WI?,"Minnetonka, MN"
Is Longmont CO closer to Arden-Arcade CA or Stillwater OK?,"Arden-Arcade, CA"
Is St. Clair Shores MI closer to Los Lunas NM or Escondido CA?,"Escondido, CA"
Is Davis CA closer to Bremerton WA or Rome GA?,"Bremerton, WA"
Is Ithaca NY closer to Alhambra CA or Knoxville TN?,"Knoxville, TN"
Is Ellicott City MD closer to Hickory NC or Pasadena CA?,"Hickory, NC"
Is Victorville CA closer to Zephyrhills FL or The Woodlands TX?,"The Woodlands, TX"
Is Scottsdale AZ closer to Town 'n' Country FL or East Orange NJ?,"East Orange, NJ"
Is Riverside CA closer to Casper WY or Long Beach CA?,"Long Beach, CA"
Is Allen TX closer to Bellingham WA or Sarasota FL?,"Sarasota, FL"
Is Chula Vista CA closer to Waterloo IA or Reno NV?,"Reno, NV"
Is Fond du Lac WI closer to Norwalk CT or Jefferson City MO?,"Jefferson City, MO"
Is Parkersburg WV closer to Round Lake Beach IL or Sandy UT?,"Sandy, UT"
Is Westland MI closer to Lexington KY or Lima OH?,"Lexington, KY"
Is Dundalk MD closer to Joplin MO or Anchorage AK?,"Anchorage, AK"
Is Harrisburg PA closer to Spring TX or New York NY?,"New York, NY"
Is Frisco TX closer to Asheville NC or Coeur d'Alene ID?,"Asheville, NC"
Is Salem OR closer to Des Moines IA or Bismarck ND?,"Des Moines, IA"
Is Sugar Land TX closer to Kingsport TN or Decatur AL?,"Kingsport, TN"
Is Livermore CA closer to Springdale AR or Novi MI?,"Novi, MI"
Is Warner Robins GA closer to Fort Myers FL or Lafayette LA?,"Fort Myers, FL"
Is North Charleston SC closer to San Rafael CA or Bay City MI?,"Bay City, MI"
Is South Fulton GA closer to Flagstaff AZ or Paramount CA?,"Flagstaff, AZ"
Is Schenectady NY closer to Leominster MA or Indio CA?,"Leominster, MA"
Is Forney TX closer to Denver CO or San Tan Valley AZ?,"Denver, CO"
Is High Point NC closer to San Mateo CA or Fargo ND?,"Fargo, ND"
Is Peoria IL closer to Jacksonville NC or Rosemead CA?,"Jacksonville, NC"
Is Palm Harbor FL closer to Berkeley CA or Costa Mesa CA?,"Costa Mesa, CA"
Is Lawrence KS closer to Cape Girardeau MO or Gadsden AL?,"Cape Girardeau, MO"
Is Utica NY closer to Allentown PA or Wichita Falls TX?,"Allentown, PA"
Is Fort Worth TX closer to Kendale Lakes FL or El Centro CA?,"Kendale Lakes, FL"
Is Kansas City KS closer to Colorado Springs CO or Ithaca NY?,"Colorado Springs, CO"
Is Greenwood IN closer to South Whittier CA or Lakeland FL?,"Lakeland, FL"
Is Stockton CA closer to Portland OR or Queens NY?,"Portland, OR"
Is Indianapolis IN closer to Miami Gardens FL or Murfreesboro TN?,"Murfreesboro, TN"
Is Portsmouth NH closer to Round Rock TX or Dubuque IA?,"Round Rock, TX"
Is North Miami FL closer to Oshkosh WI or Manhattan NY?,"Manhattan, NY"
Is Houston TX closer to Oakland CA or Delray Beach FL?,"Oakland, CA"
Is Shawnee KS closer to Vancouver WA or Battle Creek MI?,"Vancouver, WA"
Is Weston FL closer to St. Cloud MN or Richland WA?,"Richland, WA"
Is Turlock CA closer to Twin Falls ID or Fresno CA?,"Fresno, CA"
Is Hialeah FL closer to West Palm Beach FL or Oakland CA?,"West Palm Beach, FL"
Is Lancaster CA closer to Irving TX or Redding CA?,"Redding, CA"
Is Carson CA closer to Franklin TN or Stillwater OK?,"Stillwater, OK"
Is Somerville MA closer to Owensboro KY or Mayagüez PR?,"Owensboro, KY"
Is Yakima WA closer to Levittown NY or Fort Lauderdale FL?,"Fort Lauderdale, FL"
Is Tulare CA closer to Port Charlotte FL or Wheaton IL?,"Wheaton, IL"
Is League City TX closer to Green Bay WI or La Crosse WI?,"Green Bay, WI"
Is Pico Rivera CA closer to Farmington NM or Stonecrest GA?,"Farmington, NM"
Is League City TX closer to Pomona CA or Kissimmee FL?,"Kissimmee, FL"
Is Shoreline WA closer to Fayetteville AR or San Clemente CA?,"San Clemente, CA"
Is Taylorsville UT closer to Hesperia CA or Providence RI?,"Providence, RI"
Is Marysville WA closer to Slidell LA or New Haven CT?,"New Haven, CT"
Is Parma OH closer to Broken Arrow OK or Loveland CO?,"Broken Arrow, OK"
Is Irvine CA closer to Bolingbrook IL or Conway AR?,"Conway, AR"
Is Monessen PA closer to Lake Jackson TX or Dothan AL?,"Dothan, AL"
Is Sparks NV closer to Spokane WA or Columbia MD?,"Spokane, WA"
Is St. Joseph MO closer to Pocatello ID or Downey CA?,"Downey, CA"
Is Cleveland TN closer to Smyrna GA or Largo FL?,"Smyrna, GA"
Is Sumter SC closer to Seaside CA or Bonita Springs FL?,"Bonita Springs, FL"
Is Thornton CO closer to Rio Rancho NM or Vista CA?,"Rio Rancho, NM"
Is Springfield MA closer to Cape Coral FL or Montebello CA?,"Cape Coral, FL"
Is Chandler AZ closer to Davie FL or Porterville CA?,"Davie, FL"
Is Flint MI closer to Fall River MA or Cincinnati OH?,"Cincinnati, OH"
Is Pueblo CO closer to Waterbury CT or Warwick RI?,"Waterbury, CT"
Is Cathedral City CA closer to Forney TX or Burbank CA?,"Forney, TX"
Is Petaluma CA closer to Taunton MA or St. Petersburg FL?,"St. Petersburg,FL"
Is Florence SC closer to Leominster MA or Brooklyn Park MN?,"Leominster, MA"
Is Dearborn MI closer to El Paso de Robles CA or Revere MA?,"Revere, MA"
Is Winter Haven FL closer to Bethlehem PA or Bridgeport CT?,"Bethlehem, PA"
Is Revere MA closer to Gardena CA or Haverhill MA?,"Haverhill, MA"
Is Rockford IL closer to Johnson City TN or Bellevue WA?,"Johnson City, TN"
Is Peoria AZ closer to Ontario CA or Weymouth MA?,"Ontario, CA"
Is Mansfield TX closer to Blacksburg VA or Baytown TX?,"Baytown, TX"
Is Costa Mesa CA closer to Port Huron MI or Riverside CA?,"Riverside, CA"
Is Livermore CA closer to Rock Hill SC or Stamford CT?,"Stamford, CT"
Is Enterprise NV closer to Citrus Heights CA or Wesley Chapel FL?,"Citrus Heights, CA"
Is Medford OR closer to Apex NC or Green Bay WI?,"Green Bay, WI"
Is Newark NJ closer to Davenport IA or Broomfield CO?,"Davenport, IA"
Is Noblesville IN closer to Gainesville GA or Colorado Springs CO?,"Colorado Springs, CO"
Is Rancho Cordova CA closer to Palmdale CA or Columbia SC?,"Palmdale, CA"
Is Orlando FL closer to Rialto CA or O'Fallon MO?,"O'Fallon, MO"
Is Cedar Rapids IA closer to Walla Walla WA or Daphne AL?,"Daphne, AL"
Is Arden-Arcade CA closer to Broomfield CO or Bremerton WA?,"Bremerton, WA"
Is Arden-Arcade CA closer to Denver CO or Normal IL?,"Denver, CO"
Is Davis CA closer to The Woodlands TX or Woodland CA?,"Woodland, CA"
Is Pearland TX closer to Anaheim CA or St. Cloud FL?,"St. Cloud, FL"
Is Aurora CO closer to Casper WY or Columbus GA?,"Casper, WY"
Is Yakima WA closer to Brunswick GA or Nampa ID?,"Nampa, ID"
Is Thornton CO closer to Temecula CA or Pueblo CO?,"Pueblo, CO"
Is Bloomington MN closer to Tacoma WA or West Bend WI?,"West Bend, WI"
Is Brownsville TX closer to Abilene TX or West Covina CA?,"Abilene, TX"
Is Tallahassee FL closer to Carrollton TX or Shawnee KS?,"Carrollton, TX"
Is Morristown TN closer to Plantation FL or Kissimmee FL?,"Kissimmee, FL"
Is Montgomery AL closer to Silver Spring MD or San Rafael CA?,"Silver Spring, MD"
Is Davenport IA closer to Springfield OH or Beaumont CA?,"Springfield, OH"
Is Murfreesboro TN closer to Round Rock TX or Lakewood CO?,"Round Rock, TX"
Is Waldorf MD closer to St. Cloud FL or Forney TX?,"St. Cloud, FL"
Is Davie FL closer to Sioux City IA or Benton Harbor MI?,"Sioux City, IA"
Is Dundalk MD closer to Oshkosh WI or Plano TX?,"Oshkosh, WI"
Is Tucson AZ closer to Lowell MA or Brunswick GA?,"Brunswick, GA"
Is Broomfield CO closer to Levittown PA or Troy MI?,"Troy, MI"
Is Longmont CO closer to Arroyo Grande CA or St. Joseph MO?,"St. Joseph, MO"
Is Palm Harbor FL closer to Des Plaines IL or Allen TX?,"Allen, TX"
Is White Plains NY closer to Odessa TX or League City TX?,"League City, TX"
Is Lancaster CA closer to Apex NC or Ankeny IA?,"Ankeny, IA"
Is Omaha NE closer to Norfolk VA or South Hill WA?,"South Hill, WA"
Is Syracuse NY closer to Apex NC or Portland OR?,"Apex, NC"
Is Columbia SC closer to Concord NC or Irving TX?,"Concord, NC"
Is Warren MI closer to Norwalk CA or Portsmouth NH?,"Portsmouth, NH"
Is Davis CA closer to Wheeling WV or Sandy Springs GA?,"Sandy Springs, GA"
Is Cicero IL closer to Paradise NV or Johnstown PA?,"Paradise, NV"
Is Delray Beach FL closer to Weymouth MA or Brooklyn Park MN?,"Weymouth, MA"
Is East Stroudsburg PA closer to Eden Prairie MN or Fresno CA?,"Eden Prairie, MN"
Is Fountainebleau FL closer to Parma OH or Jonesboro AR?,"Jonesboro, AR"
Is Ithaca NY closer to Irving TX or Sacramento CA?,"Sacramento, CA"
Is Arvada CO closer to Pittsfield MA or Kissimmee FL?,"Kissimmee, FL"
Is El Paso de Robles CA closer to Warren MI or Sanford FL?,"El Paso de Robles, CA"
Is Apopka FL closer to La Crosse WI or Irvine CA?,"Irvine, CA"
Is Johnstown PA closer to Racine WI or The Hammocks FL?,"Racine, WI"
Is St. Cloud FL closer to Cary NC or Port Arthur TX?,"Cary, NC"
Is Miami Gardens FL closer to Spring TX or Mansfield OH?,"Spring, TX"
Is Brentwood NY closer to Forney TX or Cathedral City CA?,"Forney, TX"
Is Columbia SC closer to Kenner LA or Indio CA?,"Kenner, LA"
Is Tacoma WA closer to Texarkana TX or Valdosta GA?,"Texarkana, TX"
Is Redwood City CA closer to Garland TX or Davis CA?,"Davis, CA"
Is Longview WA closer to Paterson NJ or Springfield IL?,"Paterson, NJ"
Is Germantown MD closer to Minnetonka MN or Cupertino CA?,"Minnetonka, MN"
Is North Las Vegas NV closer to Huntersville NC or Manchester NH?,"Huntersville, NC"
Is Barnstable MA closer to Hazleton PA or Spring TX?,"Hazleton, PA"
Is Baton Rouge LA closer to Aspen Hill MD or Boynton Beach FL?,"Aspen Hill, MD"
Is Tracy CA closer to Bentonville AR or Hagerstown MD?,"Bentonville, AR"
Is Waco TX closer to Rochester Hills MI or Barnstable MA?,"Rochester Hills, MI"
Is Santa Fe NM closer to Bethesda MD or Ponce PR?,"Bethesda, MD"
Is Bristol TN closer to Arcadia CA or Pawtucket RI?,"Pawtucket, RI"
Is Methuen Town MA closer to Chico CA or Woodbury MN?,"Woodbury, MN"
Is Tulare CA closer to Springfield OH or Fond du Lac WI?,"Springfield, OH"
Is Taunton MA closer to Lakeland FL or Pico Rivera CA?,"Lakeland, FL"
Is Brunswick GA closer to Alexandria LA or Florence AL?,"Alexandria, LA"
Is Hialeah FL closer to Coconut Creek FL or Muncie IN?,"Coconut Creek, FL"
Is San Diego CA closer to Lebanon PA or Taylorsville UT?,"San Diego, CA"
Is Toledo OH closer to Dover DE or Jackson MS?,"Dover, DE"
Is Lewiston ME closer to Athens GA or Mobile AL?,"Lewiston, ME"
Is High Point NC closer to North Richland Hills TX or New Haven CT?,"North Richland Hills, TX"
Is Burnsville MN closer to New Braunfels TX or Skokie IL?,"New Braunfels, TX"
Is Topeka KS closer to Cedar Park TX or Vista CA?,"Cedar Park, TX"
Is Lafayette LA closer to San Rafael CA or Smyrna GA?,"San Rafael, CA"
Is Chicago IL closer to Lake Havasu City AZ or Nashua NH?,"Nashua, NH"
Is Alafaya FL closer to Fresno CA or Hagerstown MD?,"Hagerstown, MD"
Is Medford MA closer to Bossier City LA or Miami Beach FL?,"Miami Beach, FL"
Is Middletown OH closer to Winchester VA or Federal Way WA?,"Winchester, VA"
Is Port Huron MI closer to Sacramento CA or Springfield MA?,"Springfield, MA"
Is Portsmouth NH closer to Jackson MI or Santa Monica CA?,"Jackson, MI"
Is Richmond CA closer to Philadelphia PA or Pasco WA?,"Philadelphia, PA"
Is Athens GA closer to Los Lunas NM or Frisco TX?,"Los Lunas, NM"
Is Carson CA closer to Poughkeepsie NY or Pico Rivera CA?,"Poughkeepsie, NY"
Is Jersey City NJ closer to Glens Falls NY or Denton TX?,"Glens Falls, NY"
Is Elkhart IN closer to Wilmington DE or Chula Vista CA?,"Wilmington, DE"
Is Victorville CA closer to Charlotte NC or Indianapolis IN?,"Indianapolis, IN"
Is Tacoma WA closer to Medford OR or Bakersfield CA?,"Medford, OR"
Is Escondido CA closer to Spring Valley NV or Lincoln NE?,"Spring Valley, NV"
Is Houma LA closer to Davie FL or Hampton VA?,"Davie, FL"
Is Conway AR closer to Omaha NE or Cape Girardeau MO?,"Omaha, NE"
Is Sierra Vista AZ closer to Portsmouth VA or League City TX?,"League City, TX"
Is Pottstown PA closer to Carbondale IL or Lake Charles LA?,"Carbondale, IL"
Is Fond du Lac WI closer to Hanford CA or Hoboken NJ?,"Hanford, CA"
Is Frederick MD closer to The Hammocks FL or El Paso de Robles CA?,"The Hammocks, FL"
Is Green Bay WI closer to Lake Elsinore CA or South Hill WA?,"Lake Elsinore, CA"
Is Killeen TX closer to Peoria IL or Deerfield Beach FL?,"Peoria, IL"
Is Lubbock TX closer to Cartersville GA or Lawrence MA?,"Cartersville, GA"
Is Redlands CA closer to Bronx NY or Lakewood WA?,"Lakewood, WA"
Is Lawrence MA closer to Milpitas CA or Smyrna TN?,"Smyrna, TN"
Is Bronx NY closer to Saginaw MI or Bayamón PR?,"Bayamón, PR"
Is Escondido CA closer to Kettering OH or San Ramon CA?,"San Ramon, CA"
Is Muncie IN closer to Apple Valley CA or Hoboken NJ?,"Hoboken, NJ"
Is Sparks NV closer to Flagstaff AZ or San Francisco CA?,"San Francisco, CA"
Is Brownsville TX closer to Highlands Ranch CO or Lynn MA?,"Lynn, MA"
Is Hickory NC closer to Nashville TN or Livermore CA?,"Nashville, TN"
Is Lorain OH closer to Portland ME or Tacoma WA?,"Portland, ME"
Is Edinburg TX closer to Longmont CO or New Bern NC?,"Longmont, CO"
Is Brentwood NY closer to Meridian ID or Metairie LA?,"Metairie, LA"
Is Bridgeport CT closer to Wichita Falls TX or Concord NC?,"Concord, NC"
Is Boynton Beach FL closer to Peoria IL or Eagan MN?,"Peoria, IL"
Is Albany GA closer to Salisbury MD or San Mateo CA?,"Salisbury, MD"
Is Columbus OH closer to Asheville NC or Kennewick WA?,"Asheville, NC"
Is Denver CO closer to Olathe KS or Carrollton TX?,"Olathe, KS"
Is West Jordan UT closer to Lakeland FL or Casa Grande AZ?,"Lakeland, FL"
Is Springfield OH closer to Concord NC or Pleasanton CA?,"Concord, NC"
Is New Britain CT closer to New Braunfels TX or York PA?,"York, PA"
Is Riverside CA closer to Decatur IL or Deerfield Beach FL?,"Deerfield Beach, FL"
Is Long Beach CA closer to Jersey City NJ or Tracy CA?,"Tracy, CA"
Is Simi Valley CA closer to Idaho Falls ID or Homestead FL?,"Homestead, FL"
Is West Lafayette IN closer to El Paso de Robles CA or Boise ID?,"Boise, ID"
Is Everett WA closer to Walla Walla WA or Eden Prairie MN?,"Walla Walla, WA"
Is Lancaster CA closer to Paramount CA or Saratoga Springs NY?,"Paramount, CA"
Is Naperville IL closer to Kent WA or Columbia SC?,"Columbia, SC"
Is Chapel Hill NC closer to Elmira NY or Holland MI?,"Holland, MI"
Is Berwyn IL closer to Rochester Hills MI or Gainesville GA?,"Rochester Hills, MI"
Is Gilroy CA closer to Port St. Lucie FL or Bradenton FL?,"Port St. Lucie, FL"
Is Clovis CA closer to Bellevue WA or Homestead FL?,"Bellevue, WA"
Is Lee's Summit MO closer to Corvallis OR or Perth Amboy NJ?,"Corvallis, OR"
Is St. Clair Shores MI closer to Conroe TX or Dover DE?,"Dover, DE"
Is El Paso TX closer to Wellington FL or Stillwater OK?,"Stillwater, OK"
Is Allentown PA closer to West Valley City UT or St. George UT?,"West Valley City, UT"
Is Tucson AZ closer to Daly City CA or Cranston RI?,"Daly City, CA"
Is The Hammocks FL closer to La Crosse WI or Mansfield TX?,"La Crosse, WI"
Is Long Beach CA closer to Mission TX or Duluth MN?,"Duluth, MN"
Is Santee CA closer to Fort Worth TX or Rogers AR?,"Fort Worth, TX"
Is Daly City CA closer to Waterloo IA or Bonita Springs FL?,"Waterloo, IA"
Is Las Cruces NM closer to St. Charles MO or Texarkana TX?,"St. Charles, MO"
Is Pocatello ID closer to Apple Valley CA or Lake Jackson TX?,"Apple Valley, CA"
Is Philadelphia PA closer to San Juan PR or Mauldin SC?,"San Juan, PR"
Is Boulder CO closer to Pearland TX or Barnstable MA?,"Pearland, TX"
Is Morristown TN closer to Newark OH or Taylor MI?,"Newark, OH"
Is North Richland Hills TX closer to Levittown PA or Morgantown WV?,"Levittown, PA"
Is Gilbert AZ closer to Gilroy CA or Bolingbrook IL?,"Gilroy, CA"
Is Somerville MA closer to Bloomington MN or Cicero IL?,"Bloomington, MN"
Is North Charleston SC closer to Gresham OR or Westland MI?,"Gresham, OR"
Is Plymouth MN closer to Jacksonville FL or Kansas City KS?,"Jacksonville, FL"
