,Prompt
0,"Is Coulee City, WA closer to Valley Grove, WV or Vancouver, WA?"
1,"Is Ballville, OH closer to Belfry, MT or Luxemburg, WI?"
2,"Is Roodhouse, IL closer to Anzac Village, NM or Mason, MI?"
3,"Is Deer Lick, OK closer to Meridian, CO or Jefferson, TX?"
4,"Is South Beloit, IL closer to Oxbow, ND or McGrath, AK?"
5,"Is Mohrsville, PA closer to Vernon, UT or Hewlett Neck, NY?"
6,"Is Elm City, NC closer to Palm Coast, FL or Ulysses, KS?"
7,"Is Cinco Ranch, TX closer to Lafayette, OR or St. Elizabeth, MO?"
8,"Is Farrell, PA closer to Butler, IN or Gate, OK?"
9,"Is North Webster, IN closer to Southmont, NC or Bithlo, FL?"
10,"Is Tilton, IL closer to Corfu, NY or Olympia Fields, IL?"
11,"Is Texas City, TX closer to Turtle Lake, WI or Woodside, CA?"
12,"Is Pin Oak Acres, OK closer to Perryville, MO or Hamlet, NC?"
13,"Is Montpelier, ID closer to Wilberforce, OH or Westby, MT?"
14,"Is Rapid City, MI closer to Gillette, WY or Chester, CA?"
15,"Is Goshen, OH closer to West Alexandria, OH or Eldridge, CA?"
16,"Is Highland Park, IL closer to Fox Lake, WI or Vega, TX?"
17,"Is Norwood, GA closer to San Pablo, NM or Lake Mills, WI?"
18,"Is Bloomfield, NM closer to Warsaw, NC or Guthrie, KY?"
19,"Is Claremore, OK closer to Bantam, CT or Coaldale, CO?"
20,"Is Somerset, NJ closer to Chariton, IA or Seneca, SD?"
21,"Is West Point, GA closer to Mullens, WV or White Plains, AL?"
22,"Is Palm Valley, FL closer to Byrnedale, PA or Marmarth, ND?"
23,"Is Angier, NC closer to Fairfield, IA or Elizabeth City, NC?"
24,"Is Dyer, IN closer to Reynolds, IL or West Modesto, CA?"
25,"Is Reddick, FL closer to Forest Grove, OR or Reidland, KY?"
26,"Is Bartolo, PR closer to Third Lake, IL or Cosmopolis, WA?"
27,"Is McArthur, OH closer to Mentor, MN or Fairmead, CA?"
28,"Is Proberta, CA closer to Croom, MD or Sartell, MN?"
29,"Is Dawson, MN closer to Atglen, PA or Penrose, CO?"
30,"Is Fiddletown, CA closer to Burton, NE or Potsdam, OH?"
31,"Is Sackets Harbor, NY closer to Homer, MI or Royal City, WA?"
32,"Is Chevy Chase, MD closer to Genesee, CO or Forsyth, MO?"
33,"Is Crayne, KY closer to Woods Landing-Jelm, WY or Selma, IN?"
34,"Is Milford, OH closer to Pittsville, MD or Santa Nella, CA?"
35,"Is Copenhagen, NY closer to Gateway, FL or Pumpkin Center, NC?"
36,"Is Riverside, CT closer to Sidman, PA or Tetlin, AK?"
37,"Is Seymour, TN closer to Franklin, GA or La Honda, CA?"
38,"Is Upham, ND closer to La Puente, CA or Alcester, SD?"
39,"Is Harwich Port, MA closer to Bell Buckle, TN or Herminie, PA?"
40,"Is Berry Creek, CA closer to Lindisfarne, MT or Windsor, PA?"
41,"Is Boca Raton, FL closer to Dacoma, OK or Livingston, AL?"
42,"Is East Mountain, TX closer to James City, PA or Lake Lorelei, OH?"
43,"Is Lahoma, OK closer to Orlando, OK or Federal Way, WA?"
