,Prompt
0,"Is San Leandro, CA closer to Georgetown, TX or Kankakee, IL?"
1,"Is Plantation, FL closer to Conroe, TX or Hattiesburg, MS?"
2,"Is Plantation, FL closer to Watsonville, CA or Springdale, AR?"
3,"Is Anderson, SC closer to Brockton, MA or Vineland, NJ?"
4,"Is Plantation, FL closer to Port Huron, MI or Menifee, CA?"
5,"Is Valdosta, GA closer to Suffolk, VA or Boynton Beach, FL?"
6,"Is Springfield, OH closer to Portsmouth, VA or Camarillo, CA?"
7,"Is Plantation, FL closer to Pharr, TX or Kankakee, IL?"
8,"Is South Jordan, UT closer to Albany, GA or Auburn, AL?"
9,"Is Atascocita, TX closer to Westland, MI or Waukegan, IL?"
10,"Is San Marcos, TX closer to Madera, CA or Bloomington, MN?"
11,"Is Porterville, CA closer to Goodyear, AZ or Texarkana, TX?"
12,"Is Jonesboro, AR closer to Porterville, CA or Lynn, MA?"
13,"Is Lawrence, MA closer to The Villages, FL or Brooklyn Park, MN?"
14,"Is Fort Myers, FL closer to Dalton, GA or Missoula, MT?"
15,"Is Camarillo, CA closer to Mountain View, CA or O'Fallon, MO?"
16,"Is Lee's Summit, MO closer to Davis, CA or Joplin, MO?"
17,"Is Riverview, FL closer to Davis, CA or Dearborn, MI?"
18,"Is Dalton, GA closer to Fishers, IN or Buckeye, AZ?"
19,"Is Anderson, SC closer to Camarillo, CA or Federal Way, WA?"
20,"Is Cranston, RI closer to St. Augustine, FL or Deerfield Beach, FL?"
21,"Is Citrus Heights, CA closer to Watsonville, CA or O'Fallon, MO?"
22,"Is Fall River, MA closer to The Villages, FL or Hattiesburg, MS?"
23,"Is Bloomington, MN closer to Rio Rancho, NM or Beaverton, OR?"
24,"Is Goodyear, AZ closer to Roswell, GA or Hesperia, CA?"
25,"Is Franklin, TN closer to Florence, SC or Georgetown, TX?"
26,"Is Alhambra, CA closer to Blacksburg, VA or Rapid City, SD?"
27,"Is Kankakee, IL closer to Lebanon, PA or Rapid City, SD?"
28,"Is Jonesboro, AR closer to Folsom, CA or Slidell, LA?"
29,"Is Alafaya, FL closer to Carson, CA or Cheyenne, WY?"
30,"Is Pine Hills, FL closer to Cranston, RI or Kirkland, WA?"
31,"Is Conroe, TX closer to Sunrise, FL or Warwick, RI?"
32,"Is Alameda, CA closer to Melbourne, FL or South Jordan, UT?"
33,"Is Lebanon, PA closer to Alhambra, CA or State College, PA?"
34,"Is Cranston, RI closer to Fort Myers, FL or Alhambra, CA?"
35,"Is Orem, UT closer to Baytown, TX or Terre Haute, IN?"
36,"Is Sunrise, FL closer to Auburn, WA or Alexandria, LA?"
37,"Is Layton, UT closer to Elizabethtown, KY or Buena Park, CA?"
38,"Is Dalton, GA closer to Alafaya, FL or Compton, CA?"
39,"Is Alameda, CA closer to Quincy, MA or New Rochelle, NY?"
40,"Is Pharr, TX closer to Mandeville, LA or Hesperia, CA?"
41,"Is Citrus Heights, CA closer to Miami Beach, FL or Johns Creek, GA?"
42,"Is Williamsburg, VA closer to Roswell, GA or Boynton Beach, FL?"
43,"Is Largo, FL closer to Carson, CA or Roswell, GA?"
44,"Is Blacksburg, VA closer to Florence, AL or Springfield, OH?"
45,"Is Flagstaff, AZ closer to Baytown, TX or Anderson, IN?"
46,"Is Porterville, CA closer to St. Joseph, MO or Lafayette, CO?"
47,"Is Cranston, RI closer to Waukegan, IL or Lawrence, MA?"
48,"Is Springfield, OH closer to Lebanon, PA or New Braunfels, TX?"
49,"Is Buena Park, CA closer to Clifton, NJ or Alton, IL?"
50,"Is Chino, CA closer to Franklin, TN or Brooklyn Park, MN?"
51,"Is Jonesboro, AR closer to Slidell, LA or Kirkland, WA?"
52,"Is Portsmouth, NH closer to Silver Spring, MD or Carson, CA?"
53,"Is Lafayette, CO closer to Germantown, MD or Waukegan, IL?"
54,"Is South Fulton, GA closer to Newark, OH or Dearborn, MI?"
55,"Is Porterville, CA closer to Brockton, MA or San Marcos, TX?"
56,"Is Deerfield Beach, FL closer to Muncie, IN or Lee's Summit, MO?"
57,"Is Norwalk, CT closer to Boca Raton, FL or Hesperia, CA?"
58,"Is Lebanon, PA closer to Milpitas, CA or Deerfield Beach, FL?"
59,"Is Bellflower, CA closer to O'Fallon, MO or Albany, GA?"
60,"Is Alton, IL closer to Atascocita, TX or Lake Forest, CA?"
61,"Is Perris, CA closer to Hanford, CA or South Fulton, GA?"
62,"Is Dover, NH closer to Hanford, CA or Watsonville, CA?"
63,"Is Hawthorne, CA closer to Alexandria, LA or Riverview, FL?"
64,"Is Kankakee, IL closer to Conroe, TX or Cranston, RI?"
65,"Is Fort Myers, FL closer to Plymouth, MN or Norwalk, CT?"
66,"Is Rapid City, SD closer to Camarillo, CA or Newport Beach, CA?"
67,"Is Jonesboro, AR closer to Flower Mound, TX or Davis, CA?"
68,"Is Roswell, GA closer to Valdosta, GA or Fishers, IN?"
69,"Is Rio Rancho, NM closer to Battle Creek, MI or Alexandria, LA?"
70,"Is Alton, IL closer to Santa Monica, CA or Auburn, AL?"
71,"Is Melbourne, FL closer to Citrus Heights, CA or San Tan Valley, AZ?"
72,"Is Whittier, CA closer to Lee's Summit, MO or Largo, FL?"
73,"Is Atascocita, TX closer to Joplin, MO or St. Augustine, FL?"
74,"Is Alhambra, CA closer to Springdale, AR or Alafaya, FL?"
75,"Is Compton, CA closer to State College, PA or Florence, SC?"
76,"Is Sandy, UT closer to Alafaya, FL or St. Augustine, FL?"
77,"Is Chino Hills, CA closer to Lawrence, MA or Franklin, TN?"
78,"Is Federal Way, WA closer to Bismarck, ND or Santa Monica, CA?"
79,"Is Hanford, CA closer to Cicero, IL or Lebanon, PA?"
80,"Is Citrus Heights, CA closer to Norwalk, CT or Loveland, CO?"
81,"Is South Jordan, UT closer to Whittier, CA or Citrus Heights, CA?"
82,"Is Pleasanton, CA closer to Rio Rancho, NM or Florence, SC?"
83,"Is Edmond, OK closer to Compton, CA or Portsmouth, VA?"
84,"Is Santa Monica, CA closer to Miami Beach, FL or Cedar Park, TX?"
85,"Is Deerfield Beach, FL closer to O'Fallon, MO or Compton, CA?"
86,"Is San Marcos, CA closer to Plantation, FL or Anderson, IN?"
87,"Is Muncie, IN closer to Dearborn, MI or Cicero, IL?"
88,"Is Newton, MA closer to Mandeville, LA or New Rochelle, NY?"
89,"Is Lafayette, CO closer to Springfield, OH or Decatur, IL?"
90,"Is Chino, CA closer to Lawrence, MA or Williamsburg, VA?"
91,"Is Livermore, CA closer to Jonesboro, AR or Bloomington, MN?"
92,"Is Georgetown, TX closer to Boca Raton, FL or Lawrence, MA?"
93,"Is Elizabethtown, KY closer to Fall River, MA or Menifee, CA?"
94,"Is Cedar Park, TX closer to Alafaya, FL or Melbourne, FL?"
95,"Is Lawrence, MA closer to Roswell, GA or Clifton, NJ?"
96,"Is Plantation, FL closer to Quincy, MA or Flagstaff, AZ?"
97,"Is Brockton, MA closer to Kirkland, WA or Hanford, CA?"
98,"Is St. Joseph, MO closer to Cicero, IL or Layton, UT?"
99,"Is Roswell, GA closer to Westland, MI or Napa, CA?"
100,"Is Flower Mound, TX closer to St. Augustine, FL or Terre Haute, IN?"
101,"Is Westminster, CA closer to The Villages, FL or Whittier, CA?"
102,"Is Dalton, GA closer to Valdosta, GA or Melbourne, FL?"
103,"Is Kankakee, IL closer to Bryan, TX or Brockton, MA?"
104,"Is Slidell, LA closer to Norwalk, CT or Fall River, MA?"
105,"Is Florence, AL closer to Fishers, IN or State College, PA?"
106,"Is Upland, CA closer to Menifee, CA or The Villages, FL?"
107,"Is Boynton Beach, FL closer to Hoover, AL or The Villages, FL?"
108,"Is Folsom, CA closer to Dearborn, MI or Plymouth, MN?"
109,"Is Lawrence, KS closer to Menifee, CA or Farmington Hills, MI?"
110,"Is Springdale, AR closer to Williamsburg, VA or Pharr, TX?"
111,"Is Lawton, OK closer to San Leandro, CA or Anderson, SC?"
112,"Is Alhambra, CA closer to New Braunfels, TX or Mount Pleasant, SC?"
113,"Is Mission, TX closer to Cicero, IL or Newport Beach, CA?"
114,"Is Whittier, CA closer to Edmond, OK or Layton, UT?"
115,"Is Clifton, NJ closer to Warwick, RI or Whittier, CA?"
116,"Is Pharr, TX closer to Lakewood, CA or Parma, OH?"
117,"Is O'Fallon, MO closer to Menifee, CA or Fort Myers, FL?"
118,"Is Portsmouth, VA closer to Westland, MI or Decatur, IL?"
119,"Is Quincy, MA closer to Brooklyn Park, MN or Atascocita, TX?"
120,"Is Melbourne, FL closer to Goodyear, AZ or Joplin, MO?"
121,"Is The Villages, FL closer to Franklin, TN or Dover, NH?"
122,"Is Missoula, MT closer to Dalton, GA or Lawton, OK?"
123,"Is Port Huron, MI closer to Georgetown, TX or Zephyrhills, FL?"
124,"Is Jonesboro, AR closer to Jackson, MI or Hawthorne, CA?"
125,"Is Boca Raton, FL closer to Riverview, FL or San Marcos, TX?"
126,"Is Alton, IL closer to Hoover, AL or Mountain View, CA?"
127,"Is Mountain View, CA closer to New Rochelle, NY or Georgetown, TX?"
128,"Is Baytown, TX closer to Kirkland, WA or Jackson, MI?"
129,"Is Plantation, FL closer to Baytown, TX or Porterville, CA?"
130,"Is Plymouth, MN closer to Upland, CA or Orem, UT?"
131,"Is Hesperia, CA closer to Alhambra, CA or Fort Myers, FL?"
132,"Is Norwalk, CT closer to Valdosta, GA or Livermore, CA?"
133,"Is Federal Way, WA closer to Redwood City, CA or Alafaya, FL?"
134,"Is Bellflower, CA closer to Fall River, MA or Cicero, IL?"
